aphiaID,taxa_name
346050,Acartia australis
346051,Acartia bispinosa
346059,Acartia pacifica
346148,Bestiolina spp.
346152,Bestiolina similis
346200,Calanopia aurivilli
346201,Calanopia australica
346234,Candacia bradyi
346235,Candacia discaudata
346252,Centropages australiensis
346255,Centropages elegans
346283,Clytemnestra farrani
346286,Clytemnestra longipes
346293,Copilia hendorffi
346298,Corycaeus vitreus
346358,Dioithona oculata
346360,Dioithona rigida
346438,Euchaeta indica
346439,Euchaeta longicornis
346441,Euchaeta marinella
346444,Euchaeta rimana
346476,Farranula concinna
346477,Farranula gibbula
346507,Goniopsyllus spp.
346538,Heterorhabdus lobatus
346540,Heterorhabdus oikoumenikis
346588,Labidocera cervi
346589,Labidocera dakini
346593,Labidocera farrani
346613,Labidocera tasmanica
347746,Parvocalanus spp.
349800,Candacia columbiae
353708,Neocalanus flemingeri V-VI
354022,Oncaea clevei
354594,Pareucalanus langae
354875,Pontella novaezealandiae
355135,Pseudodiaptomus baylyi
355172,Pseudodiaptomus mertoni
355505,Scolecithricella globulosa
355934,Sulcanus conflictus
356829,Rhincalanus rostrifrons
357533,Calanoides breivcornis
357973,Cyclopinoides longicornis
358328,Ditrichocorycaeus asiaticus
358653,Gaetanus simplex
359743,Onychocorycaeus agilis
359744,Onychocorycaeus pacificus
359879,Paraeuchaeta tonsa
360047,Pareucalanus sewelli
360051,Parvocalanus crassirostris
360054,Parvocalanus cf
360246,Pontellopsis krameri
360662,Subeucalanus dentatus
360846,Oncaea waldemari
361576,Scolecitrichopsis ctenopus
361875,Oncaea paraclevei
363803,Oncaea venusta typica
363904,Delibus spp.
363905,Delibus nudus
366281,Fragilariopsis doliolus
367245,Oithona brevicornis
370366,Chaetoceros(Hyalochaete) spp.
370367,Chaetoceros(Phaeoceros) spp.
382879,Jasus edwardsii
387338,Pterotracheoidea
392346,Munida gregaria
394447,Hemicyclops spp.
411917,Hydromylidae
413311,Hemicyclops aberdonensis
416150,Xystonellopsis spp.
416184,Cephalobranchia spp.
416442,Acartia pietschmani
417136,Codonella galea
417162,Codonellopsis orthoceras
417228,Salpingella acuminata
417266,Xystonellopsis heros
418109,Orcadia riedeli
418591,Odontella longicruris
421612,Dairella californica
427448,Codonellopsis ostenfeldi
427576,Amplectella tricollaria
427625,Xystonella lohmanni
514315,Nematocarcinus longirostris
533451,Spongiobranchaea australis
558776,Echinospira larva
582421,Radiolarian A
586732,Acantharia
587513,Peltidiinae
596242,Pleuromamma abdominalis
712788,Pleuragramma antarctica
714164,Clione limacina antarctica
716449,Calanus australis
720560,Tortanus gracilis
720586,Tortanus barbatus
723504,Cyttarocylis ampulla
732976,Tintinnina
734517,Oithona setigera
734518,Oithona simplex
745865,Paracalanus parvus
746007,Pleuromamma robusta
764978,Ditrichocorycaeus aucklandicus
764980,Ditrichocorycaeus dahli
764981,Ditrichocorycaeus erythraeus
765217,Urocorycaeus longistylis
841190,Ceratium bucephalum
847452,Eucalanus elongatus
850801,Metridia lucens
883864,Belzebub spp.
883869,Lucifer penicillifer
1381349,Nauplii poecilostomatoida
1384339,Cosmocalanus darwinii
1436445,Pleuromamma gracilis
1458653,Labidocera kroyeri
1461626,Clausocalanus arcuicornis
1464945,Paracalanus aculeatus
1488083,Rhincalanus cornutus
1509944,Scolecithricella minor
1649781,Hansarsia megalops
1649789,Hansarsia megalops
1740301,Medusa
NA,Egg
