aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,taxa_name,TG_latest,unreviewed_traitValue,References,PataHunt_traitValue,filter_or_not,campbell_diet,same_or_not,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
135333,Calycophorae,Calycophorae,5025,"Leuckart, 1854",110,Suborder,1371,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA,urn:lsid:marinespecies.org:taxname:135333,"Calycophorae Leuckart, 1854",Siphonophore,Calycophoran,Calycophoran,carnivore,not_determined,[1],not determined,0,NA,NA,74.5232,4.98542337571474E-08,74.5232,9.45684660554038E-05,NA,NA,NA,NA,NA,NA
135338,Diphyidae,Diphyidae,5055,"Quoy & Gaimard, 1827",140,Family,135333,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,NA,NA,urn:lsid:marinespecies.org:taxname:135338,"Diphyidae Quoy & Gaimard, 1827",Siphonophore,Siphonophore diphyidae,Siphonophore diphyidae,carnivore,not_determined,[1],not determined,0,NA,NA,56.5689,3.78432375956037E-08,56.5689,7.17848146542491E-05,NA,NA,NA,NA,NA,NA
135336,Abylidae,Abylidae,4997,"L. Agassiz, 1862",140,Family,135333,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,NA,NA,urn:lsid:marinespecies.org:taxname:135336,"Abylidae L. Agassiz, 1862",Siphonophore,Siphonophore abylidae,Siphonophore abylidae,carnivore,not_determined,[1],not determined,0,NA,NA,6.6668,4.45992933223681E-09,2.6668,3.38411642651618E-06,NA,NA,NA,NA,4,4.93227067561627E-07
135335,Physonectae,Physonectae,5137,"Haeckel, 1888",110,Suborder,1371,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA,urn:lsid:marinespecies.org:taxname:135335,"Physonectae Haeckel, 1888",Siphonophore,Physonectae,Physonectae,carnivore,not_determined,[1],not determined,0,NA,NA,3.3334,2.2299646661184E-09,3.3334,4.23001863512414E-06,NA,NA,NA,NA,NA,NA
135566,Caligus,Caligus,3699,"MÃ¼ller O.F., 1785",180,Genus,135513,Animalia,Arthropoda,Copepoda,Siphonostomatoida,Caligidae,Caligus,NA,urn:lsid:marinespecies.org:taxname:135566,"Caligus MÃ¼ller O.F., 1785",Non-calanoid,Caligus spp.,Caligus spp.,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
1104,Siphonostomatoida,Siphonostomatoida,4276,"Burmeister, 1835",100,Order,155879,Animalia,Arthropoda,Copepoda,Siphonostomatoida,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1104,"Siphonostomatoida Burmeister, 1835",Non-calanoid,Siphonostomatoida,Siphonostomatoida,NA,not_determined,Comprised of omni and carni,not determined,0,NA,NA,662,4.42862125448874E-07,NA,NA,661,NA,1,7.39138531498902E-10,NA,NA
135531,Pandaridae,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Copepoda,Siphonostomatoida,Pandaridae,NA,NA,urn:lsid:marinespecies.org:taxname:135531,"Pandaridae Milne Edwards, 1840",NA,Pandaridae,Pandaridae,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
1268,Sipuncula,Sipuncula,6065,"Stephen, 1965",100,Order,882,Animalia,Annelida,NA,Sipuncula,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1268,"Sipuncula Stephen, 1965",NA,Sipunculid worm larvae,Sipunculid worm,NA,not_determined,NA,not determined,0,NA,NA,2.6667,1.78395835337432E-09,2.6667,3.38398952849509E-06,NA,NA,NA,NA,NA,NA
1648,Sipunculidae,NA,NA,NA,NA,NA,NA,Animalia,Annelida,Sipuncula,Sipunculidae,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1648,"Sipunculidae Rafinesque, 1814",NA,Pelagosphera larvae,Pelagosphera,NA,not_determined,NA,not determined,0,NA,NA,5.3333,3.5678498091466E-09,5.3333,6.76785215896909E-06,NA,NA,NA,NA,NA,NA
345858,Spongodiscidae,NA,NA,NA,NA,NA,NA,Animalia,Radiozoa,Polycystina,Spumellaria,Spongodiscidae,NA,NA,urn:lsid:marinespecies.org:taxname:345858,"Spongodiscidae Haeckel, 1862 emend. Riedel, 1967",NA,Spongodiscidae (Circular),Spongodiscidae,NA,not_determined,NA,not determined,0,NA,NA,112.8169,7.54718007862883E-08,112.8169,0.00014316241355881,NA,NA,NA,NA,NA,NA
14355,Stomatopoda,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,NA,NA,NA,urn:lsid:marinespecies.org:taxname:14355,Stomatopoda,NA,Stomatopod,Stomatopod,carnivore,not_determined,NA,not determined,0,NA,NA,443.4456,2.96654472714449E-07,192.4456,0.00024420965808113,251,NA,NA,NA,NA,NA
136093,Squillidae,Squillidae,6083,"Latreille, 1802",140,Family,148541,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,NA,NA,urn:lsid:marinespecies.org:taxname:136093,"Squillidae Latreille, 1802",NA,Squillidae,Squillidae,carnivore,not_determined,NA,not determined,0,NA,NA,6.6667,4.45986243463478E-09,6.6667,8.45991037222718E-06,NA,NA,NA,NA,NA,NA
136113,Squilla sp.,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae ,Squilla,NA,urn:lsid:marinespecies.org:taxname:136113,"Squilla Fabricius, 1787",NA,Squilla sp.,Squilla sp.,carnivore,not_determined,NA,not determined,0,NA,NA,5,3.34488010157558E-09,NA,NA,NA,NA,NA,NA,5,6.16533834452034E-07
125606,Syngnathidae,Syngnathidae,6113,"Bonaparte, 1831",140,Family,10327,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,NA,NA,urn:lsid:marinespecies.org:taxname:125606,"Syngnathidae Bonaparte, 1831",NA,Syngnathid,Syngnathid,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
127379,Entelurus aequoreus,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Entelurus,Entelurus aequoreus,urn:lsid:marinespecies.org:taxname:127379,"Entelurus aequoreus (Linnaeus, 1758)",NA,Pipefish,Pipefish,NA,not_determined,NA,not determined,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
125610,Monocanthidae,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Tetraodontiformes,Monocanthidae,NA,NA,urn:lsid:marinespecies.org:taxname:125610,"Monacanthidae Nardo, 1843",NA,Monacanthidae (leatherjacket),Monacanthidae,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
11716,Teuthida,Teuthida,6133,"Naef, 1916",100,Order,325342,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA,NA,urn:lsid:marinespecies.org:taxname:11716,"Teuthida Naef, 1916",NA,Teuthida indet,Teuthida indet,carnivore,not_determined,NA,not determined,0,NA,NA,103,6.89045300924569E-08,NA,NA,NA,NA,NA,NA,103,1.27005969897119E-05
13703,Thecosomata,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,Gastropoda,Thecosomata,NA,NA,NA,urn:lsid:marinespecies.org:taxname:13703,Unaccepted (abandoned concept),NA,Thecosomata,Thecosomata (Pacific),NA,not_determined,NA,not determined,0,NA,NA,250,1.67244005078779E-07,NA,NA,NA,NA,250,1.84784632874725E-07,NA,NA
117851,Aglaura hemistoma,Aglaura hemistoma,3081,"PÃ©ron & Lesueur, 1810",220,Species,117213,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglaura,Aglaura hemistoma,urn:lsid:marinespecies.org:taxname:117851,"Aglaura hemistoma PÃ©ron & Lesueur, 1810",Hydromedusae,Aglaura hemistoma,Aglaura hemistoma,carnivore,carnivore,[P],carnivore,0,NA,NA,33.2935,2.22725531323613E-08,33.2935,4.22487926526986E-05,NA,NA,NA,NA,NA,NA
16350,Trachymedusae,Trachymedusae,3444,"Haeckel, 1866",100,Order,22754,Animalia,Cnidaria,Hydrozoa,Trachymedusae,NA,NA,NA,urn:lsid:marinespecies.org:taxname:16350,"Trachymedusae Haeckel, 1866",Hydromedusae,Trachymedusae,Trachymedusae,NA,not_determined,NA,not determined,0,NA,NA,1.3334,8.92012625488174E-10,1.3334,1.69205821325809E-06,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phytoplankton colour,NA,not_determined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Clionidae,Clionidae,NA,"Rafinesque, 1815",NA,Family,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,NA,NA,urn:lsid:marinespecies.org:taxname:166 ,NA,Pteropod,NA,Clione pacific/Thliptodon,NA,not_determined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,NA,Dinoflagellate cysts (Total),NA,not_determined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
