sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
158-1,10.6667,6,0,4.6667,0,4.6667,0,0,0,4.6667,0,0
158-10,8.0001,2.6667,0,5.3334,0,5.3334,0,0,0,5.3334,0,0
158-11,8.6667,4,0,4.6667,0,4,0,0,0,4,0,0
158-12,6.6667,2.6667,0,4,0,4,0,0,0,4,0,0
158-13,22.6668,6.6667,0,16.0001,0,13.3334,0,0,0,13.3334,0,0
158-14,21.3333,3.3333,0,18,0,17.3333,0,0,0,17.3333,0,0
158-15,13.3334,2.6667,0.6667,10,0.6667,10,0,0,0.6667,10,0,0
158-16,16.6668,2.6667,0,14.0001,0,13.3334,0,0,0,13.3334,0,0
158-17,38.6667,8.6667,0.6667,29.3333,0.6667,29.3333,0.6667,0,0,29.3333,0,0
158-18,22.6667,4.6667,0,18,0,16,0,0,0,16,0,0
158-19,24.0001,6,0.6667,17.3334,0.6667,17.3334,0.6667,0,0,17.3334,0,0
158-2,10.6666,2.6667,0,7.9999,0,6.6666,0,0,0,6.6666,0,0
158-20,43.3334,10.6667,2.0001,30.6666,2.0001,30.6666,2.0001,0,0,30.6666,0,0
158-21,46.0001,8.6667,2,35.3334,2,34.6667,2,0,0,34.6667,0,0
158-22,48.0001,8.6667,4.6667,34.6667,4.6667,34.6667,4.6667,0,0,34.6667,0,0
158-23,54.0001,2.6667,7.3334,44,6.6667,43.3333,6.6667,0,0,43.3333,0,0
158-24,57.3334,8,3.3334,46,3.3334,45.3333,3.3334,0,0,45.3333,0,0
158-25,57.3333,10,2.6667,44.6666,2.6667,43.3333,2.6667,0,0,43.3333,0,0
158-26,74,6,0.6667,67.3333,0.6667,67.3333,0.6667,0,0,67.3333,0,0
158-27,52.6668,9.3333,4.6668,38.6667,4.6668,38,4.6668,0,0,38,0,0
158-28,95.3334,18.6667,10.6667,66,10.6667,65.3333,10.6667,0,0,65.3333,0,0
158-29,109.3333,7.3333,16,86,15.3333,86,15.3333,0,0,86,0,0
158-3,20.0001,8,0.6667,11.3334,0.6667,10.6667,0.6667,0,0,10.6667,0,0
158-30,115.3333,10,15.9999,89.3334,15.9999,89.3334,14.6666,0,1.3333,89.3334,0,0
158-31,123.3333,15.3333,18,90,18,90,18,0,0,90,0,0
158-32,135.3336,12.6667,20.6668,102.0001,20.6668,102.0001,20.0001,0,0.6667,102.0001,0,0
158-33,109.3334,3.3333,5.3334,100.6667,5.3334,100.6667,4.0001,0,1.3333,100.6667,0,0
158-34,128.0002,8,2.0001,118.0001,2.0001,118.0001,1.3334,0,0.6667,118.0001,0,0
158-35,86.6667,6.6667,4,76,4,76,3.3333,0,0.6667,76,0,0
158-36,120,10,4.6667,105.3333,4.6667,105.3333,4.6667,0,0,105.3333,0,0
158-37,84.0001,8.6667,4,71.3334,4,71.3334,4,0,0,71.3334,0,0
158-38,154.6667,2,12.0001,140.6666,12.0001,140.6666,12.0001,0,0,140.6666,0,0
